country,country_code,2010,2012,2014,2016,2018,2020
"Aruba","ABW",24452,25609,26942,28451,30220,24487
"Africa Eastern and Southern","AFE",1643,1760,1719,1432,1550,1353
"Afghanistan","AFG",554,663,628,520,502,516
"Africa Western and Central","AFW",1675,1953,2243,1645,1731,1683
"Angola","AGO",3496,4962,5059,1709,2487,1603
"Albania","ALB",4094,4247,4578,4124,5287,5332
"Andorra","AND",48238,44904,45682,39932,42903,37207
"Arab World","ARB",6385,7327,7276,6062,6474,5544
"United Arab Emirates","ARE",34165,44386,46865,41054,46722,37629
"Argentina","ARG",10385,13082,12334,12790,11795,8496
"Armenia","ARM",3143,3643,4017,3679,4391,4505
"American Samoa","ASM",10446,11920,12313,13300,13195,15501
"Antigua and Barbuda","ATG",13404,13686,14004,15862,17527,14787
"Australia","AUS",52134,68044,62513,49875,57207,51720
"Austria","AUT",46903,48564,51786,45307,51466,48809
"Azerbaijan","AZE",5843,7496,7891,3880,4739,4229
"Burundi","BDI",222,238,257,242,231,216
"Belgium","BEL",44184,44670,47764,42012,47544,45517
"Benin","BEN",1009,1112,1251,1049,1194,1237
"Burkina Faso","BFA",627,733,767,665,779,833
"Bangladesh","BGD",776,876,1108,1659,1963,2233
"Bulgaria","BGR",6853,7432,7901,7569,9446,10129
"Bahrain","BHR",21186,25102,25464,22867,25415,23501
"Bahamas, The","BHS",27046,28059,28720,29887,31738,23862
"Bosnia and Herzegovina","BIH",4507,4688,5196,4858,5936,6012
"Belarus","BLR",6033,6953,8341,5039,6360,6542
"Belize","BLZ",5397,5645,6068,6148,6059,5266
"Bermuda","BMU",101875,98431,98467,106885,113050,107791
"Bolivia","BOL",1922,2562,3022,3013,3471,3068
"Brazil","BRA",11249,12327,12071,8680,9121,6794
"Barbados","BRB",16489,16691,16924,17343,18224,16643
"Brunei Darussalam","BRN",34609,46842,41037,26762,31241,27179
"Bhutan","BTN",2194,2470,2589,2879,3210,3009
"Botswana","BWA",6041,6393,6844,6411,6947,5863
"Central African Republic","CAF",459,525,394,372,435,435
"Canada","CAN",47562,52669,50955,42315,46548,43258
"Central Europe and the Baltics","CEB",12624,13075,14132,12781,16086,16293
"Switzerland","CHE",76531,85836,88724,82153,85217,85656
"Channel Islands","CHI",,,,,,
"Chile","CHL",12767,15406,14666,13785,15795,13094
"China","CHN",4550,6300,7636,8094,9905,10408
"Cote d'Ivoire","CIV",1654,1649,2124,1980,2275,2288
"Cameroon","CMR",1383,1433,1631,1426,1594,1539
"Congo, Dem. Rep.","COD",324,412,472,456,546,524
"Congo, Rep.","COG",2962,3753,3622,1970,2512,1838
"Colombia","COL",6394,8101,8164,5938,6782,5307
"Comoros","COM",1384,1483,1608,1357,1531,1519
"Cabo Verde","CPV",3192,3262,3405,2978,3442,2924
"Costa Rica","CRI",8147,9971,10737,11899,12383,12132
"Caribbean small states","CSS",9271,10417,10711,9781,10353,8851
"Cuba","CUB",5275,6467,7117,8055,8831,9499
"Curacao","CUW",,19886,19552,18881,18956,16109
"Cayman Islands","CYM",76875,75468,76613,78861,85234,83329
"Cyprus","CYP",31105,28993,27245,24715,29418,28036
"Czechia","CZE",19960,19870,19890,18575,23424,22992
"Germany","DEU",41572,43855,48023,42136,47939,46772
"Djibouti","DJI",1227,1418,2239,2545,2755,2917
"Dominica","DMA",7182,7054,7498,8223,7833,7003
"Denmark","DNK",58041,58507,62548,54663,61591,60915
"Dominican Republic","DOM",5509,6049,6533,7191,7947,7167
"Algeria","DZA",4495,5610,5516,3967,4171,3337
"East Asia & Pacific (excluding high income)","EAP",4006,5376,6291,6591,7944,8262
"Early-demographic dividend","EAR",2988,3346,3411,3257,3467,3214
"East Asia & Pacific","EAS",7721,9435,9694,9854,11310,11475
"Europe & Central Asia (excluding high income)","ECA",7789,10208,9890,7044,7994,7441
"Europe & Central Asia","ECS",23640,25090,26316,22379,25243,23984
"Ecuador","ECU",4640,5678,6374,6079,6321,5645
"Egypt, Arab Rep.","EGY",2509,3059,3196,3331,2407,3398
"Euro area","EMU",37605,37594,39913,35164,40045,38159
"Eritrea","ERI",504,,,,,
"Spain","ESP",30532,28322,29513,26537,30379,26959
"Estonia","EST",14663,17403,20261,18295,23165,23595
"Ethiopia","ETH",335,458,557,705,758,918
"European Union","EUU",32969,33170,35278,31175,35751,34330
"Fragile and conflict affected situations","FCS",2298,2307,2423,1735,1847,1705
"Finland","FIN",46505,47708,50327,43814,49987,49170
"Fiji","FJI",3469,4359,5305,5368,6073,4864
"France","FRA",40676,40870,43068,37062,41557,39055
"Faroe Islands","FRO",48167,50156,60125,56834,62576,61980
"Micronesia, Fed. Sts.","FSM",2760,3023,2928,3022,3623,3639
"Gabon","GAB",8399,9348,9255,6722,7694,6680
"United Kingdom","GBR",39693,42485,47447,41146,43306,40318
"Georgia","GEO",3233,4421,4739,4062,4722,4255
"Ghana","GHA",1258,1536,1942,1900,2180,2176
"Gibraltar","GIB",,,,,,
"Guinea","GIN",667,707,774,720,944,1073
"Gambia, The","GMB",796,686,561,640,683,704
"Guinea-Bissau","GNB",542,598,605,642,781,710
"Equatorial Guinea","GNQ",14905,18756,16804,8035,8719,6327
"Greece","GRC",26716,21912,21616,17923,19756,17658
"Grenada","GRD",6760,6900,7726,8849,9574,8437
"Greenland","GRL",43988,45936,50484,48181,54545,54571
"Guatemala","GTM",2852,3355,3779,4173,4485,4604
"Guam","GUM",30011,31642,33483,35052,35902,34780
"Guyana","GUY",4589,5461,5495,5905,6094,6863
"High income","HIC",38785,41493,42419,40441,44527,43415
"Hong Kong SAR, China","HKG",32549,36730,40315,43733,48537,46107
"Honduras","HND",1874,2107,2164,2295,2457,2354
"Heavily indebted poor countries (HIPC)","HPC",824,906,1012,973,972,958
"Croatia","HRV",14124,13443,13784,12552,15244,14198
"Haiti","HTI",1204,1356,1453,1305,1494,1283
"Hungary","HUN",13217,12984,14294,13104,16425,16120
"IBRD only","IBD",4520,5571,5949,5507,6352,6149
"IDA & IBRD total","IBT",3731,4516,4822,4454,5074,4887
"IDA total","IDA",1212,1234,1386,1319,1371,1336
"IDA blend","IDB",1511,1833,2083,1818,1874,1719
"Indonesia","IDN",3094,3668,3476,3558,3902,3894
"IDA only","IDX",1058,925,1027,1064,1115,1143
"Isle of Man","IMN",70622,79332,91885,82045,89429,
"India","IND",1350,1434,1559,1714,1974,1910
"Not classified","INX",,,,,,
"Ireland","IRL",48663,49054,55643,62895,79250,85420
"Iran, Islamic Rep.","IRN",6458,8329,5757,5497,3873,2746
"Iraq","IRQ",4430,6437,6215,4305,5601,4332
"Iceland","ISL",43237,45995,54576,61987,74461,59200
"Israel","ISR",31266,33156,38259,37690,42406,44846
"Italy","ITA",36035,35051,35565,30960,34622,31911
"Jamaica","JAM",4835,5365,4991,5022,5594,4897
"Jordan","JOR",3914,4386,4255,4003,4146,4042
"Japan","JPN",44968,49145,38475,39375,39727,39918
"Kazakhstan","KAZ",9070,12386,12807,7714,9812,9121
"Kenya","KEN",1093,1289,1489,1562,1845,1936
"Kyrgyz Republic","KGZ",880,1177,1279,1120,1308,1182
"Cambodia","KHM",782,950,1098,1281,1533,1577
"Kiribati","KIR",1438,1698,1546,1506,1605,1430
"St. Kitts and Nevis","KNA",16427,17311,19945,21095,22547,18566
"Korea, Rep.","KOR",23087,25466,29249,29288,33436,31721
"Kuwait","KWT",39213,51277,43234,27029,32007,24300
"Latin America & Caribbean (excluding high income)","LAC",8520,9686,9775,7909,8384,6789
"Lao PDR","LAO",1127,1566,1984,2309,2553,2593
"Lebanon","LBN",7695,8500,7665,8172,9225,5599
"Liberia","LBR",497,644,713,722,700,597
"Libya","LBY",11611,15764,9408,7944,11838,7568
"St. Lucia","LCA",8697,9271,10007,10574,11563,8458
"Latin America & Caribbean","LCN",9081,10217,10451,8363,8916,7289
"Least developed countries: UN classification","LDC",813,946,1056,1013,1063,1082
"Low income","LIC",1145,773,806,751,686,669
"Liechtenstein","LIE",141467,149459,179457,165844,175283,157754
"Sri Lanka","LKA",2893,3449,3971,4150,4360,3893
"Lower middle income","LMC",1809,2115,2176,2169,2323,2268
"Low & middle income","LMY",3550,4339,4626,4311,4898,4722
"Lesotho","LSO",1104,1205,1165,986,1161,989
"Late-demographic dividend","LTE",6206,7988,8812,8183,9839,9706
"Lithuania","LTU",11987,14367,16551,15008,19186,20339
"Luxembourg","LUX",110885,112584,123678,106899,116786,117370
"Latvia","LVA",11420,13847,15742,14331,17865,18207
"Macao SAR, China","MAC",50676,74111,90873,71918,84923,37646
"St. Martin (French part)","MAF",,,21920,,,
"Morocco","MAR",2835,2907,3430,3132,3492,3258
"Monaco","MCO",161782,165505,195780,174610,194280,182538
"Moldova","MDA",2436,3044,3327,2879,4232,4500
"Madagascar","MDG",459,504,517,464,512,462
"Maldives","MDV",7158,7447,8872,9640,10823,7282
"Middle East & North Africa","MEA",7479,8759,8321,7111,7476,6490
"Mexico","MEX",9399,10376,11076,8875,9857,8655
"Marshall Islands","MHL",3001,3445,3672,4153,4769,5567
"Middle income","MIC",3799,4716,5040,4709,5384,5206
"North Macedonia","MKD",4577,4728,5495,5149,6108,5965
"Mali","MLI",688,753,818,750,856,822
"Malta","MLT",21799,22527,26754,25624,31567,28977
"Myanmar","MMR",765,1161,1238,1161,1274,1477
