country,country_code,2010,2012,2014,2016,2018,2020
"Aruba","ABW",75,75,75,75,76,75
"Africa Eastern and Southern","AFE",58,60,61,62,63,63
"Afghanistan","AFG",60,61,62,63,63,62
"Africa Western and Central","AFW",54,55,55,56,57,57
"Angola","AGO",56,58,60,61,62,62
"Albania","ALB",77,78,78,78,79,76
"Andorra","AND",,,,,,
"Arab World","ARB",70,70,70,70,71,70
"United Arab Emirates","ARE",78,78,79,79,79,78
"Argentina","ARG",75,76,76,76,76,75
"Armenia","ARM",73,73,74,74,75,72
"American Samoa","ASM",,,,,,
"Antigua and Barbuda","ATG",76,77,77,78,78,78
"Australia","AUS",81,82,82,82,82,83
"Austria","AUT",80,80,81,81,81,81
"Azerbaijan","AZE",69,70,71,72,72,66
"Burundi","BDI",57,58,59,60,61,61
"Belgium","BEL",80,80,81,81,81,80
"Benin","BEN",58,58,59,59,60,60
"Burkina Faso","BFA",56,57,58,59,60,59
"Bangladesh","BGD",68,69,69,71,72,71
"Bulgaria","BGR",73,74,74,74,74,73
"Bahrain","BHR",78,79,79,79,79,79
"Bahamas, The","BHS",72,72,73,73,73,72
"Bosnia and Herzegovina","BIH",77,77,75,76,77,76
"Belarus","BLR",70,71,72,73,74,74
"Belize","BLZ",72,73,73,73,73,72
"Bermuda","BMU",79,81,80,81,81,82
"Bolivia","BOL",66,66,67,67,67,64
"Brazil","BRA",73,73,74,74,75,74
"Barbados","BRB",75,76,76,76,77,77
"Brunei Darussalam","BRN",74,74,74,74,74,74
"Bhutan","BTN",68,69,70,70,71,71
"Botswana","BWA",60,60,62,65,65,65
"Central African Republic","CAF",49,50,50,53,54,54
"Canada","CAN",81,81,81,81,82,81
"Central Europe and the Baltics","CEB",75,75,76,76,76,76
"Switzerland","CHE",82,82,83,83,83,83
"Channel Islands","CHI",81,81,81,81,81,81
"Chile","CHL",78,79,79,80,80,79
"China","CHN",75,76,76,77,77,78
"Cote d'Ivoire","CIV",55,56,57,58,58,59
"Cameroon","CMR",56,57,58,60,61,60
"Congo, Dem. Rep.","COD",56,57,58,59,59,59
"Congo, Rep.","COG",61,62,62,63,64,63
"Colombia","COL",75,75,76,76,76,74
"Comoros","COM",61,61,62,63,63,64
"Cabo Verde","CPV",73,74,75,75,75,74
"Costa Rica","CRI",78,79,78,79,79,79
"Caribbean small states","CSS",72,72,72,72,72,72
"Cuba","CUB",77,77,77,77,77,77
"Curacao","CUW",,77,77,77,,
"Cayman Islands","CYM",82,,,,,
"Cyprus","CYP",79,80,80,81,81,81
"Czechia","CZE",77,78,78,79,79,78
"Germany","DEU",79,80,81,80,80,80
"Djibouti","DJI",60,60,61,62,63,62
"Dominica","DMA",,,,,,
"Denmark","DNK",79,80,80,80,80,81
"Dominican Republic","DOM",72,72,72,72,73,72
"Algeria","DZA",73,74,75,75,76,74
"East Asia & Pacific (excluding high income)","EAP",73,74,74,75,75,75
"Early-demographic dividend","EAR",67,68,69,70,70,70
"East Asia & Pacific","EAS",74,75,75,76,76,76
"Europe & Central Asia (excluding high income)","ECA",70,71,72,72,73,72
"Europe & Central Asia","ECS",75,76,77,77,77,77
"Ecuador","ECU",75,76,76,76,77,72
"Egypt, Arab Rep.","EGY",69,70,70,70,71,70
"Euro area","EMU",80,81,81,81,82,81
"Eritrea","ERI",63,64,65,66,67,67
"Spain","ESP",81,82,83,83,83,82
"Estonia","EST",75,76,77,77,78,78
"Ethiopia","ETH",59,61,62,64,65,65
"European Union","EUU",79,80,80,80,81,80
"Fragile and conflict affected situations","FCS",59,60,60,61,61,61
"Finland","FIN",79,80,81,81,81,82
"Fiji","FJI",67,67,67,67,67,67
"France","FRA",81,81,82,82,82,82
"Faroe Islands","FRO",80,81,81,82,82,83
"Micronesia, Fed. Sts.","FSM",71,71,71,71,71,70
"Gabon","GAB",63,64,64,65,66,66
"United Kingdom","GBR",80,80,81,81,81,80
"Georgia","GEO",72,72,73,73,73,72
"Ghana","GHA",61,62,63,63,64,64
"Gibraltar","GIB",80,83,81,81,82,82
"Guinea","GIN",56,57,57,58,59,59
"Gambia, The","GMB",60,62,62,63,63,62
"Guinea-Bissau","GNB",56,57,58,59,60,59
"Equatorial Guinea","GNQ",57,58,59,60,61,60
"Greece","GRC",80,80,81,81,81,81
"Grenada","GRD",74,75,74,74,74,74
"Greenland","GRL",70,70,71,71,71,71
"Guatemala","GTM",70,71,71,72,72,71
"Guam","GUM",76,76,76,76,77,76
"Guyana","GUY",66,67,67,68,68,68
"High income","HIC",79,80,80,80,80,80
"Hong Kong SAR, China","HKG",82,83,83,84,84,85
"Honduras","HND",71,71,72,72,72,71
"Heavily indebted poor countries (HIPC)","HPC",58,60,61,62,62,62
"Croatia","HRV",76,76,77,78,78,77
"Haiti","HTI",46,62,62,63,64,64
"Hungary","HUN",74,75,75,76,76,75
"IBRD only","IBD",71,72,72,73,73,73
