country,country_code,2010,2012,2014,2016,2018,2020
"Aruba","ABW",557,567,575,582,588,592
"Africa Eastern and Southern","AFE",35,37,39,41,43,46
"Afghanistan","AFG",43,46,50,53,56,59
"Africa Western and Central","AFW",39,41,43,46,48,51
"Angola","AGO",18,20,21,23,25,26
"Albania","ALB",106,105,105,104,104,103
"Andorra","AND",152,151,152,154,159,165
"Arab World","ARB",26,29,30,31,33,34
"United Arab Emirates","ARE",119,122,124,126,128,130
"Argentina","ARG",14,15,15,15,16,16
"Armenia","ARM",103,102,101,100,99,98
"American Samoa","ASM",274,268,261,252,242,230
"Antigua and Barbuda","ATG",194,199,202,205,208,210
"Australia","AUS",2,2,3,3,3,3
"Austria","AUT",101,102,103,105,107,108
"Azerbaijan","AZE",109,112,115,118,120,122
"Burundi","BDI",355,381,408,424,447,475
"Belgium","BEL",359,366,370,374,377,381
"Benin","BEN",83,88,94,99,105,112
"Burkina Faso","BFA",58,62,66,70,74,78
"Bangladesh","BGD",1139,1168,1198,1227,1257,1286
"Bulgaria","BGR",68,67,66,65,64,63
"Bahrain","BHR",1592,1590,1700,1809,1906,1882
"Bahamas, The","BHS",37,38,38,39,40,40
"Bosnia and Herzegovina","BIH",74,71,69,67,66,64
"Belarus","BLR",46,46,46,46,46,46
"Belize","BLZ",14,14,15,16,16,17
"Bermuda","BMU",1206,1199,1206,1195,1183,1183
"Bolivia","BOL",9,9,10,10,10,11
"Brazil","BRA",23,23,24,24,25,25
"Barbados","BRB",638,642,645,648,650,652
"Brunei Darussalam","BRN",75,77,79,80,82,83
"Bhutan","BTN",18,18,19,19,19,20
"Botswana","BWA",3,3,3,4,4,4
"Central African Republic","CAF",7,7,7,7,8,8
"Canada","CAN",3,3,3,4,4,4
"Central Europe and the Baltics","CEB",94,94,93,93,92,92
"Switzerland","CHE",198,202,207,211,215,218
"Channel Islands","CHI",,,,,,
"Chile","CHL",22,23,23,24,25,25
"China","CHN",141,143,145,147,148,149
"Cote d'Ivoire","CIV",66,69,72,76,80,84
"Cameroon","CMR",42,44,47,50,53,56
"Congo, Dem. Rep.","COD",29,31,33,35,38,40
"Congo, Rep.","COG",12,13,14,15,15,16
"Colombia","COL",40,41,42,42,44,45
"Comoros","COM",352,367,383,400,417,433
"Cabo Verde","CPV",129,132,135,138,141,144
"Costa Rica","CRI",90,92,94,96,98,100
"Caribbean small states","CSS",17,17,17,17,18,18
"Cuba","CUB",106,106,108,109,109,108
"Curacao","CUW",334,342,351,359,358,348
"Cayman Islands","CYM",225,236,248,259,270,280
"Cyprus","CYP",122,125,127,129,131,133
"Czechia","CZE",135,136,136,136,137,138
"Germany","DEU",234,230,232,235,237,238
"Djibouti","DJI",39,41,42,44,45,47
"Dominica","DMA",91,91,92,93,94,95
"Denmark","DNK",138,139,141,143,144,145
"Dominican Republic","DOM",202,207,212,217,222,227
"Algeria","DZA",15,15,16,16,17,18
"East Asia & Pacific (excluding high income)","EAP",122,124,126,128,130,132
"Early-demographic dividend","EAR",88,91,93,96,98,101
"East Asia & Pacific","EAS",90,91,93,94,95,96
"Europe & Central Asia (excluding high income)","ECA",16,17,17,17,17,17
"Europe & Central Asia","ECS",32,32,32,33,33,33
"Ecuador","ECU",60,62,64,66,68,70
"Egypt, Arab Rep.","EGY",87,91,96,100,104,107
"Euro area","EMU",125,125,126,127,127,127
"Eritrea","ERI",26,26,27,27,28,29
"Spain","ESP",93,93,92,93,93,94
"Estonia","EST",31,31,30,30,30,31
"Ethiopia","ETH",79,83,88,93,98,103
"European Union","EUU",110,110,110,111,111,112
"Fragile and conflict affected situations","FCS",38,39,41,43,45,47
"Finland","FIN",17,17,17,18,18,18
"Fiji","FJI",49,49,50,50,50,50
"France","FRA",118,119,121,121,122,123
"Faroe Islands","FRO",34,34,34,35,36,38
"Micronesia, Fed. Sts.","FSM",153,154,155,157,158,160
"Gabon","GAB",6,7,7,8,8,8
"United Kingdom","GBR",259,263,267,271,274,277
"Georgia","GEO",66,65,65,65,65,65
"Ghana","GHA",112,118,123,129,135,141
"Gibraltar","GIB",3126,3216,3245,3256,3264,3270
"Guinea","GIN",41,43,46,48,51,53
"Gambia, The","GMB",191,203,216,228,241,254
"Guinea-Bissau","GNB",55,58,61,65,68,71
"Equatorial Guinea","GNQ",39,42,46,49,53,56
"Greece","GRC",86,85,84,83,83,82
"Grenada","GRD",335,340,346,352,358,363
"Greenland","GRL",0,0,0,0,0,0
"Guatemala","GTM",133,137,142,147,152,157
"Guam","GUM",305,308,310,311,312,313
"Guyana","GUY",3,3,3,3,3,4
"High income","HIC",33,33,34,34,34,35
"Hong Kong SAR, China","HKG",6689,6809,6885,6987,7097,7124
"Honduras","HND",75,78,81,84,87,90
"Heavily indebted poor countries (HIPC)","HPC",31,34,36,38,40,43
"Croatia","HRV",76,76,75,74,73,72
"Haiti","HTI",357,366,377,388,399,410
"Hungary","HUN",110,109,108,107,107,106
"IBRD only","IBD",62,63,65,66,67,68
"IDA & IBRD total","IBT",60,62,64,65,67,68
"IDA total","IDA",55,58,60,63,66,69
"IDA blend","IDB",108,113,118,122,127,132
"Indonesia","IDN",129,133,136,139,142,144
"IDA only","IDX",44,46,48,50,53,55
"Isle of Man","IMN",147,147,147,146,146,147
"India","IND",417,428,439,450,460,469
"Not classified","INX",,,,,,
"Ireland","IRL",66,66,67,69,70,72
"Iran, Islamic Rep.","IRN",46,47,49,51,52,53
"Iraq","IRQ",71,77,84,89,93,98
"Iceland","ISL",3,3,3,3,3,3
"Israel","ISR",352,365,379,394,410,425
"Italy","ITA",200,201,205,205,204,200
"Jamaica","JAM",252,254,257,258,259,260
"Jordan","JOR",78,81,97,112,117,123
"Japan","JPN",351,350,349,348,347,346
"Kazakhstan","KAZ",6,6,6,6,6,6
"Kenya","KEN",72,76,80,84,87,91
"Kyrgyz Republic","KGZ",28,29,30,31,32,34
"Cambodia","KHM",81,83,86,88,90,92
"Kiribati","KIR",133,137,141,146,150,156
"St. Kitts and Nevis","KNA",182,183,183,183,183,183
"Korea, Rep.","KOR",509,515,520,525,528,531
"Kuwait","KWT",165,190,211,227,242,244
"Latin America & Caribbean (excluding high income)","LAC",29,29,30,31,31,32
"Lao PDR","LAO",27,28,28,29,30,31
"Lebanon","LBN",488,506,613,611,581,553
"Liberia","LBR",41,44,46,48,50,52
"Libya","LBY",3,3,3,3,3,3
"St. Lucia","LCA",280,283,286,289,291,293
"Latin America & Caribbean","LCN",29,30,30,31,31,32
"Least developed countries: UN classification","LDC",41,43,45,47,50,52
"Low income","LIC",34,35,37,39,42,44
"Liechtenstein","LIE",224,228,231,235,238,242
"Sri Lanka","LKA",323,325,331,342,350,354
"Lower middle income","LMC",116,120,124,127,131,135
"Low & middle income","LMY",61,63,64,66,68,69
"Lesotho","LSO",66,67,69,70,72,74
"Late-demographic dividend","LTE",48,49,50,50,51,52
"Lithuania","LTU",49,47,46,45,44,44
"Luxembourg","LUX",196,206,216,226,236,244
"Latvia","LVA",33,32,32,31,30,30
"Macao SAR, China","MAC",18764,19490,19939,20547,19786,20555
"St. Martin (French part)","MAF",,720,705,696,677,651
"Morocco","MAR",72,74,76,78,80,82
"Monaco","MCO",16368,17118,17814,18288,18267,18215
"Moldova","MDA",99,99,99,97,94,91
"Madagascar","MDG",37,39,41,43,46,48
"Maldives","MDV",1205,1291,1389,1514,1632,1714
"Middle East & North Africa","MEA",35,36,38,39,41,42
"Mexico","MEX",57,59,61,62,63,64
"Marshall Islands","MHL",296,290,280,268,255,241
"Middle income","MIC",66,68,70,71,73,74
"North Macedonia","MKD",81,81,81,82,82,82
"Mali","MLI",12,13,14,15,16,17
"Malta","MLT",1295,1312,1357,1422,1514,1610
"Myanmar","MMR",75,76,78,79,80,81
"Middle East & North Africa (excluding high income)","MNA",39,41,42,44,46,47
"Montenegro","MNE",46,46,46,46,46,46
"Mongolia","MNG",1,1,1,1,2,2
"Northern Mariana Islands","MNP",117,113,112,111,109,107
"Mozambique","MOZ",29,31,33,35,37,39
"Mauritania","MRT",3,3,3,3,4,4
"Mauritius","MUS",615,618,621,622,623,623
"Malawi","MWI",156,165,174,184,194,205
"Malaysia","MYS",87,90,93,95,98,101
"North America","NAC",18,19,19,19,20,20
"Namibia","NAM",2,2,2,2,2,3
"New Caledonia","NCL",13,14,14,14,14,14
"Niger","NER",13,14,15,16,17,19
"Nigeria","NGA",176,186,196,207,217,228
"Nicaragua","NIC",48,50,51,53,54,56
"Netherlands","NLD",492,496,500,505,511,518
"Norway","NOR",13,13,14,14,14,14
"Nepal","NPL",189,190,191,194,198,204
"Nauru","NRU",512,522,547,571,596,615
"New Zealand","NZL",16,16,17,17,18,19
"OECD members","OED",36,36,37,37,38,38
"Oman","OMN",9,11,12,14,14,14
"Other small states","OSS",13,13,14,14,15,15
"Pakistan","PAK",252,262,270,276,285,294
"Panama","PAN",48,50,52,54,56,57
"Peru","PER",22,23,23,24,25,26
"Philippines","PHL",317,328,339,351,364,376
"Palau","PLW",40,39,38,38,38,39
"Papua New Guinea","PNG",16,17,18,19,20,21
"Poland","POL",124,124,124,124,124,123
"Pre-demographic dividend","PRE",36,38,40,43,45,48
"Puerto Rico","PRI",419,409,398,384,360,369
"Korea, Dem. People's Rep.","PRK",205,206,208,210,212,214
"Portugal","PRT",115,114,113,112,112,112
"Paraguay","PRY",14,14,15,15,16,16
"West Bank and Gaza","PSE",628,661,693,725,758,797
"Pacific island small states","PSS",35,36,37,38,39,40
"Post-demographic dividend","PST",34,34,34,35,35,35
"French Polynesia","PYF",81,82,83,84,85,86
"Qatar","QAT",147,164,192,225,240,240
"Romania","ROU",88,87,86,85,84,83
