Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of a healthy diet [CoHD]
Food Prices for Nutrition Data,FPN,Albania,ALB,2017,YR2017,3.952
Food Prices for Nutrition Data,FPN,Angola,AGO,2017,YR2017,4.327
Food Prices for Nutrition Data,FPN,Algeria,DZA,2017,YR2017,3.763
Food Prices for Nutrition Data,FPN,Anguilla,AIA,2017,YR2017,3.717
Food Prices for Nutrition Data,FPN,Antigua and Barbuda,ATG,2017,YR2017,4.112
Food Prices for Nutrition Data,FPN,Argentina,ARG,2017,YR2017,3.341
Food Prices for Nutrition Data,FPN,Armenia,ARM,2017,YR2017,3.096
Food Prices for Nutrition Data,FPN,Aruba,ABW,2017,YR2017,3.418
Food Prices for Nutrition Data,FPN,Australia,AUS,2017,YR2017,2.259
Food Prices for Nutrition Data,FPN,Austria,AUT,2017,YR2017,2.772
Food Prices for Nutrition Data,FPN,Azerbaijan,AZE,2017,YR2017,2.348
Food Prices for Nutrition Data,FPN,"Bahamas, The",BHS,2017,YR2017,4.276
Food Prices for Nutrition Data,FPN,Bahrain,BHR,2017,YR2017,3.379
Food Prices for Nutrition Data,FPN,Bangladesh,BGD,2017,YR2017,2.882
Food Prices for Nutrition Data,FPN,Barbados,BRB,2017,YR2017,..
Food Prices for Nutrition Data,FPN,Belarus,BLR,2017,YR2017,3.177
Food Prices for Nutrition Data,FPN,Belgium,BEL,2017,YR2017,2.862
Food Prices for Nutrition Data,FPN,Belize,BLZ,2017,YR2017,2.476
Food Prices for Nutrition Data,FPN,Benin,BEN,2017,YR2017,3.55
Food Prices for Nutrition Data,FPN,Bermuda,BMU,2017,YR2017,4.072
Food Prices for Nutrition Data,FPN,Bhutan,BTN,2017,YR2017,4.383
Food Prices for Nutrition Data,FPN,Bolivia,BOL,2017,YR2017,3.551
Food Prices for Nutrition Data,FPN,Bonaire,BON,2017,YR2017,..
Food Prices for Nutrition Data,FPN,Bosnia and Herzegovina,BIH,2017,YR2017,3.847
Food Prices for Nutrition Data,FPN,Botswana,BWA,2017,YR2017,3.622
Food Prices for Nutrition Data,FPN,Brazil,BRA,2017,YR2017,2.809
Food Prices for Nutrition Data,FPN,British Virgin Islands,VGB,2017,YR2017,3.235
Food Prices for Nutrition Data,FPN,Brunei Darussalam,BRN,2017,YR2017,4.126
Food Prices for Nutrition Data,FPN,Bulgaria,BGR,2017,YR2017,3.78
Food Prices for Nutrition Data,FPN,Burkina Faso,BFA,2017,YR2017,3.173
Food Prices for Nutrition Data,FPN,Burundi,BDI,2017,YR2017,2.988
Food Prices for Nutrition Data,FPN,Cabo Verde,CPV,2017,YR2017,3.358
Food Prices for Nutrition Data,FPN,Cambodia,KHM,2017,YR2017,3.618
Food Prices for Nutrition Data,FPN,Cameroon,CMR,2017,YR2017,2.616
Food Prices for Nutrition Data,FPN,Canada,CAN,2017,YR2017,2.863
Food Prices for Nutrition Data,FPN,Cayman Islands,CYM,2017,YR2017,2.928
Food Prices for Nutrition Data,FPN,Central African Republic,CAF,2017,YR2017,3.423
Food Prices for Nutrition Data,FPN,Chad,TCD,2017,YR2017,2.831
Food Prices for Nutrition Data,FPN,Chile,CHL,2017,YR2017,3.053
Food Prices for Nutrition Data,FPN,China,CHN,2017,YR2017,2.571
Food Prices for Nutrition Data,FPN,Colombia,COL,2017,YR2017,2.863
Food Prices for Nutrition Data,FPN,Comoros,COM,2017,YR2017,..
Food Prices for Nutrition Data,FPN,"Congo, Dem. Rep.",COD,2017,YR2017,2.921
Food Prices for Nutrition Data,FPN,"Congo, Rep.",COG,2017,YR2017,3.343
Food Prices for Nutrition Data,FPN,Costa Rica,CRI,2017,YR2017,3.961
Food Prices for Nutrition Data,FPN,Côte d'Ivoire,CIV,2017,YR2017,3.273
Food Prices for Nutrition Data,FPN,Croatia,HRV,2017,YR2017,4.168
Food Prices for Nutrition Data,FPN,Curacao,CUW,2017,YR2017,2.866
Food Prices for Nutrition Data,FPN,Cyprus,CYP,2017,YR2017,2.846
Food Prices for Nutrition Data,FPN,Czech Republic,CZE,2017,YR2017,2.899
Food Prices for Nutrition Data,FPN,Denmark,DNK,2017,YR2017,2.376
Food Prices for Nutrition Data,FPN,Djibouti,DJI,2017,YR2017,2.797
Food Prices for Nutrition Data,FPN,Dominica,DMA,2017,YR2017,4
Food Prices for Nutrition Data,FPN,Dominican Republic,DOM,2017,YR2017,3.521
Food Prices for Nutrition Data,FPN,East Asia & Pacific,EAS,2017,YR2017,3.7
Food Prices for Nutrition Data,FPN,Ecuador,ECU,2017,YR2017,2.788
Food Prices for Nutrition Data,FPN,"Egypt, Arab Rep.",EGY,2017,YR2017,3.457
Food Prices for Nutrition Data,FPN,El Salvador,SLV,2017,YR2017,..
Food Prices for Nutrition Data,FPN,Equatorial Guinea,GNQ,2017,YR2017,3.526
